number,handle name,handle ID,tweet,tweet time,retweet count,likes count
54,Ma-Anne Escobar,annethologybyme,WATCH LIVE: Funeral service underway in Halifax to remember the seven Syrian children killed in a devastating house fire. https://t.co/I3D2kUBtPJ https://t.co/BwLk8BL6Fp,Sat Feb 23 18:50:03 +0000 2019,0,0
55,Adam Lockett,AdamLockett34,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:50:05 +0000 2019,0,0
56,Darren Fenwick,DarrenF52613413,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:50:08 +0000 2019,0,0
57,AlexMimikos,AlexMimikosyaho,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:50:13 +0000 2019,0,0
58,Shannon Says,shannongailmc,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:50:20 +0000 2019,0,0
59,Kayla Punchihewa,alittlelotus,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:50:21 +0000 2019,0,0
60,Philip J Fernandez,Fernaph,"Remembering with prayers the Barho children — three-month-old Abdullah; Rana, 2; Hala, 3; Ola, 8; Mohamad, 9; Rola, 12; and Ahmed, 14 and for their parents Kawthar and Ebraheim. https://t.co/HL39Jnnwzs",Sat Feb 23 18:50:23 +0000 2019,0,0
61,stanning finnrey on main,teakadairani,"The GoFundMe campaign to help the Barho family after their fatal house fire is now the second largest in Canadian history (now nearly a half-million dollars).
1. Humboltd Broncos
2. Halifax House Fire
3. Quebec Mosque Victims https://t.co/RGkvQgz7bs",Sat Feb 23 18:50:30 +0000 2019,0,0
62,Karen Honey,IamKarenHoney,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:50:35 +0000 2019,0,0
63,JML,JML_ter,"Dear America: This likely won't have been on your radar. You're understandably busy yelling at and demeaning each other, but there's much to be said here about kindness and compassion for people far less fortunate than us. #barho #halifax #cdnpoli 
https://t.co/rjLtBdLIAq",Sat Feb 23 18:50:39 +0000 2019,0,0
64,Fraf-Simons,flyingjambalaya,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:50:49 +0000 2019,0,0
65,"Gail Nestel, Canada",Gail_F_Nestel,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:50:55 +0000 2019,0,0
66,pretty heavy dude,prettyheavydude,"@DonCheadle Don. I tweeted about a Muslim family that lost 7 children in a house in Halifax Canada. No retweet, no mention etc. They have a go fund me page. Why don't you step up. Instead of shucking and jiving.",Sat Feb 23 18:51:05 +0000 2019,0,0
67,Hafsa Kamara,HafsaKamara,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:51:05 +0000 2019,0,0
68,JML,JML_ter,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:51:06 +0000 2019,0,0
69,Truthwarrior2,c_fortunate2,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:51:07 +0000 2019,0,0
70,Squirrely Dan,TheSquirrelyDan,"Maybe and I'm just spitballing here, but perhaps if they had been left in their own country, where they belong, none of this would have happened",Sat Feb 23 18:51:18 +0000 2019,0,0
71,...,xjaeee,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:51:42 +0000 2019,0,0
72,Darren Fenwick,DarrenF52613413,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:51:57 +0000 2019,0,0
73,SHY DISORDER,stupidkzzo,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:52:03 +0000 2019,0,0
74,Natasha Pace,NatashaPace,"“Obviously it was an unbelievable incident, I just came to give my sympathies,” says Nirav Mehta, who recently immigrated to Halifax from India.",Sat Feb 23 18:52:18 +0000 2019,0,0
75,JJ,Janabeeb,@AskHalifaxBank my son’s piggy bank was full so we filled bank money bags and took them into Halifax to put into his JNR ISA.lady at the counter wouldn’t accept coins that weren’t in a full bag.e.g.£4 of 50p coins but because it wasn’t £5 she wouldn’t accept it. Is this right?,Sat Feb 23 18:52:25 +0000 2019,0,0
76,Jane James,TheJaneJames,"Halifax Paralympic star Hannah Cockroft speaks about disability becoming a 'taboo' https://t.co/uPWE1m0ORN

“I think, we’re in 2019 - how can disability still be that hidden? I think it’s something that’s quite taboo,” adding: “People are not as forward thinking as they were.”",Sat Feb 23 18:52:26 +0000 2019,0,0
77,Harambe pounces,KINGWEWUIZ,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:52:26 +0000 2019,0,0
78,Wendy Speirs,SpeirsWendy,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:52:46 +0000 2019,0,0
79,"Si vis pacem, para bellum",lindanix110,".@lindanix110
So sad, seven young children perished, their
father in critical condition, after a devastating
fire swept through their home, mother has survived
""Public funeral held for the seven Syrian refugee children who died in Halifax house fire""  https://t.co/sKykxpD8WW",Sat Feb 23 18:52:47 +0000 2019,0,0
80,Dan Burritt,DanBurritt,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:52:58 +0000 2019,0,0
81,Donna  Wentz-Hilbert,dwentz2512,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:53:07 +0000 2019,0,0
82,patrick callaghan,patricklpc,"New data published today on child care fees in cities across Canada.
In Halifax:
Median Infant Fees are $967 per month
Median Toddler Fees: $845
Median Preschool Fees: $867

That amounts to over $10,000 per year!
#universalchildcare https://t.co/kHQHKrUE4M",Sat Feb 23 18:53:07 +0000 2019,0,0
83,Cheryl Morelli,CherylMorelli5,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:53:10 +0000 2019,0,0
84,Alisha Parchment,AlishaParchment,"The largest funeral Halifax has seen in recent memory. 1,800 chairs here. 
Remembering:
- Ahmed
- Rola
- Mohamad
- Ola
- Hala
- Rana
- Abdullah https://t.co/nimfryoMY9",Sat Feb 23 18:53:15 +0000 2019,0,0
85,jane hendron,Hendja,"Seven children dead. A father in a medically-induced coma. A mother who fled Syria with her family... now destroyed. This heartbreaking story continues today with a public funeral in Halifax. 
All are welcome to attend, or view the live stream here:
https://t.co/1TwlIAwSFV https://t.co/zmGvFW5mGN",Sat Feb 23 18:53:23 +0000 2019,0,0
86,CanadianBankingVictims.FightBack,BankersWatchDog,"@kdorse .
Bank Lobbying SCAMS

Same as #SNCLavelin
.
#Trudeau PAY for PLAY #Scandal
.
SPREAD the WORD 100X Larger than #SNC scandal

https://t.co/haulq7Slb5

#BMO #CIBC #BNS #RBD #TD #CPC #PPC #Canada #PEI #LavScam #cdnpoli #PEI #Saskatoon #Timmins #Moncton #Guelph #Quebec #Halifax #NDP",Sat Feb 23 18:53:26 +0000 2019,0,0
87,Debi Roan,RoanDebi,"Friends, family and community members gathered in Halifax in support of a Syrian refugee family that lost seven children in a house fire earlier this week. https://t.co/bqiYZZPK7m",Sat Feb 23 18:53:31 +0000 2019,0,0
