number,handle name,handle ID,tweet,tweet time,retweet count,likes count
98,Logan Campbell,LogManMaritimes,Teen charged following Wednesday lockdown at Dartmouth High School - Halifax Today https://t.co/BSK5YA5kck via @HalifaxToday,2019-02-22 01:04:37,0,0
99,Micmac Jack,MicmacJack,"RT @Brett_CBC: The GoFundMe campaign to help the Barho family after their fatal house fire is now the second largest in Canadian history (now nearly a half-million dollars).
1. Humboltd Broncos
2. Halifax House Fire
3. Quebec Mosque Victims https://t.co/RGkvQgz7bs",2019-02-22 01:04:34,5,0
100,Fran,FrannieBark,"RT @HonAhmedHussen: We are deeply saddened to hear of the news of the house fire in Halifax last night that claimed the lives of 7 Syrian refugee children. 

Our deepest sympathies go out to the family and their loved ones.
 https://t.co/K0P3UVFQZi",2019-02-22 01:04:26,37,0
101,Oriana Duinker,oriduinker,"RT @AndyFillmoreHFX: Lots of businesses in #Halifax are donating profits to the Barho family this week.

Here is a THREAD of the ones I know about – please flag any others and I'll add.",2019-02-22 01:04:18,91,0
102,Thanh Phung,loveandsundays,"“It takes a village”
.
Halifax, you are amazing. You rally together to support the ones that need you the most and it’s heartwarming to say the least. We are so incredibly lucky be able… https://t.co/6QngtIW9jO",2019-02-22 01:04:10,0,0
103,HuffPost Québec,HuffPostQuebec,Vague de sympathie à la suite de la tragédie qui a coûté la vie à sept enfants à Halifax https://t.co/M8KfAN4q4q,2019-02-22 01:04:02,0,1
104,Elizabeth Kinsman,Elizhfx,@GeorgeProbst I was an adult. As a child I was terrified of the fish room at the Natural Museum in Halifax. And I still am. I respect sharks and want them to thrive so my ocean can be healthy. But I don't need to swim with them.,2019-02-22 01:03:52,0,1
105,Halifax Jobs,Halifax_Jobs_UK,"#HalifaxJobs Halifax Jobs: Engineer / Transport Planning / CAD Engineer, Halifax: Job Title: Engineer (Local Transport Plan) Location: Halifax Salary: £32,029 - £34,788 Hours: Full Time. Permanent Closing Date:… https://t.co/cM7CEAACvZ For More Jobs &gt;&gt;&gt; Please Go2 Our Page!",2019-02-22 01:03:34,0,0
106,Halifax Jobs,Halifax_Jobs_UK,"#HalifaxJobs Halifax Jobs: temp FLT driver, Halifax: Our client in Halifax is looking for an FLT driver in Halifax! They are looking for someone to do two weeks temporary FLT work starting on the 25th February.… https://t.co/iNNHDk9JS4 For More Jobs &gt;&gt;&gt; Please Go2 Our Page!",2019-02-22 01:03:33,0,0
107,Rhonda Brown,RhondaBrown5,Learning about @hfxfire history tonight at @NS_MNH Presented by @HTNovaScotia #Halifax @HFXFireHistory https://t.co/akl2wMI0SI,2019-02-22 01:03:32,0,5
108,Travis Larner,t_ravis58,@tfernaays @NLL @NLLcommish I didn't see what happened in Halifax,2019-02-22 01:03:30,0,0
109,isurusoxy,isurus9,RT @ns_advocate: News release: Extinction Rebellion shuts down multiple intersections in downtown #Halifax https://t.co/9hDj1WGWeY  #ClimateChange  #nspoli,2019-02-22 01:03:14,11,0
110,Halifax Jobs,HalifaxJob,"Department Manager - Lumber &amp; Building Materials: J.D. Irving, Limited (Halifax, NS): ""building materials department manager kent is the largest retail building supply chain in Atlantic Canada. Our mission is to be the best..."" #halifax eluta https://t.co/Mgd3BTPdsC",2019-02-22 01:03:05,0,0
111,derick,infidelatheist,@CBCManitoba I'm holding out for Halifax 2023. #GoSchooners,2019-02-22 01:02:57,0,0
112,"Thomas, the Reverend",tfernaays,"@t_ravis58 @NLL @NLLcommish That was my understanding from the beginning, but after the event in Halifax, it seems as though that may not be the case.",2019-02-22 01:02:55,0,0
113,Wesley Coughlan,WesleyCoughlan,"RT @NatashaPace: The Halifax House Fire campaign is now the second largest Canadian campaign, behind Humboldt Broncos.",2019-02-22 01:02:53,10,0
